id_diem,ten_diem,ma_diem,tinh_thanh,loai_diem
1,"Badico (BD)",B,BD,khac
2,"BMT - Cần Thơ (Thốt Nốt)",B-CTN,"Thốt Nốt",khac
3,"BMT Cần Thơ (Cái Cui)",BCTC,"Cái Cui",khac
4,"BMT Long An",BLA,,khac
5,"Bình Minh (Vĩnh Long)",BML,"Vĩnh Long",khac
6,"C.An Sơn",CS1,,khac
7,"Cảng AHT (Bình Dương)",CAD,"Bình Dương",khac
8,"Cảng Bảo Thy (BD)",CBT,BD,khac
9,"Cảng Bảo Toàn",CBT1,,khac
10,"Cảng Hoàng Sơn Lâm (VC-ĐT)",CHSL,VC-ĐT,khac
11,"Cảng Hoàng Tuấn (Long An)",CHTA,"Long An",khac
12,"Cảng Long Bình (ĐN)",CLB,ĐN,khac
13,"Cảng Ngọc Bích (Long An)",CNBA,"Long An",khac
14,"Cảng Nhất Nam (ĐN)",CNN,ĐN,khac
15,"Cảng Phú Quang",CPQ,,khac
16,"Cảng Thiện Tân (BD)",CTT,BD,khac
17,"Cảng Thành Tây Hạ (ĐN)",CTTH,ĐN,khac
18,"Cảng Thành Được (BD)",CT�,BD,khac
19,"Cảng Thạnh Phước",CTP,,khac
20,"Cái Sắn(CT)",CS,CT,khac
21,"Cầu Long Thành",CLT2,,khac
22,"Cảng An Ngãi (BRVT)",CAN,BRVT,cang
23,"Cảng Bourbon (Long An)",CBA,"Long An",cang
24,"Cảng Bảo Mai (Đồng Tháp)",CBMT1,"Đồng Tháp",cang
25,"Cảng Bảo Minh Thịnh (ĐN)",CBMT,ĐN,cang
26,"Cảng Bến Lức (Long An)",CBLA,"Long An",cang
27,"Cảng Bến Nghé",CBN,,cang
28,"Cảng Bến Nghé-> Phú Hữu (Lãnh vật tư)",CBNPHVT,"Lãnh vật tư",cang
29,"Cảng Bờ Sông AHT (ST)",CBSA,ST,cang
30,"Cảng Cái Cui (CT)",CCC,CT,cang
31,"Cảng Hiệp Phước",CHP,,cang
32,"Cảng Hoàng Diệu (CT)",CHD,CT,cang
33,"Cảng Long Hậu (Long An)",CLHA,"Long An",cang
34,"Cảng Long Thuận (ĐN)",CLT,ĐN,cang
35,"Cảng Long Tân (ĐN)",CLT1,ĐN,cang
36,"Cảng Lotus",CL,,cang
37,"Cảng Mỹ Xuyên (ST)",CMX,ST,cang
38,"Cảng Ngã Bảy (HG)",CNB,HG,cang
39,"Cảng Phan Vũ (Long An)",CPVA,"Long An",cang
40,"Cảng Phú Mỹ",CPM,,cang
41,"Cảng Quốc Hằng (ĐN)",CQH,ĐN,cang
42,"Cảng Rạch Chiếc",CRC,,cang
43,"Cảng Rạch Giá (KG)",CRG,KG,cang
44,"Cảng SITV(Thị Vải)",CSV,"Thị Vải",cang
45,"Cảng Sotrans Thủ Đức",CST�,,cang
46,"Cảng Sông Buôn (ĐN)",CSB,ĐN,cang
47,"Cảng Thường Tân (BD)",CTT1,BD,cang
48,"Cảng Thốt Nốt (CT)",CTN,CT,cang
49,"Cảng TMN (Phú Mỹ)",CTM,"Phú Mỹ",cang
50,"Cảng Tuệ Minh (Thường Tân)",CTMT,"Thường Tân",cang
