ten_phuong_tien,so_chuyen,diem_di,diem_du_kien,diem_den,doi_lenh_tuyen,route_hien_thi,cu_ly_co_hang_km,cu_ly_khong_hang_km,he_so_co_hang,he_so_khong_hang,khoi_luong_van_chuyen_t,khoi_luong_luan_chuyen,dau_tinh_toan_lit,cap_them,doi_lenh,ly_do_cap_them,so_luong_cap_them_lit,cay_xang_cap_them,ngay_di,ngay_den,ngay_do_xong,nhom_cu_ly,loai_hang,ghi_chu,thang_bao_cao,created_at

HTL-1,1,"TN Long An","Nhà máy xi măng Kiên Lương","Nhà máy xi măng Kiên Lương",,"TN Long An → Nhà máy xi măng Kiên Lương",0,306,0.0005253,2.18,0,0,667.08,0,0,,0,,2025-11-27,2025-11-29,,dai,"Không hàng",,2025-12,"2025-12-15 15:17:35"
HTL-1,1,"Nhà máy xi măng Kiên Lương","TN Phú Hữu","TN Phú Hữu",,"Nhà máy xi măng Kiên Lương → TN Phú Hữu",342,0,0.0005253,2.18,1167.68,399346.56,955.34,0,0,,0,,2025-12-01,2025-12-04,2025-12-05,dai,Clinker,,2025-12,"2025-12-05 00:00:00"
HTL-1,1,"TN Phú Hữu","Cảng Quốc Hằng (ĐN)","Cảng Quốc Hằng (ĐN)",,"TN Phú Hữu → Cảng Quốc Hằng (ĐN)",0,31,0.00072,2.59,0,0,80.29,0,0,,0,,2025-12-05,2025-12-06,,ngan,"Không hàng",,2025-12,"2025-12-15 15:26:09"
HTL-1,2,"Cảng Quốc Hằng (ĐN)","BMT Cần Thơ (Cái Cui)","BMT Cần Thơ (Cái Cui)",,"Cảng Quốc Hằng (ĐN) → BMT Cần Thơ (Cái Cui)",241,0,0.00058,2.095,1406.13,338877.33,701.44,0,0,,0,,2025-12-07,2025-12-09,2025-12-12,dai,"Đá XD",,2025-12,"2025-12-07 00:00:00"
AG-21519,1,"Nhà máy xi măng Kiên Lương","TN Long An","TN Long An",,"Nhà máy xi măng Kiên Lương → TN Long An",306,0,0.0005253,2.18,1166.58,356973.48,854.6,0,0,,0,,2025-11-29,2025-12-04,2025-12-04,dai,Clinker,,2025-12,"2025-12-04 00:00:00"
AG-21519,1,"TN Long An","Cảng Quốc Hằng (ĐN)","Cảng Quốc Hằng (ĐN)",,"TN Long An → Cảng Quốc Hằng (ĐN)",0,127,0.00058,2.095,0,0,266.07,0,0,,0,,2025-12-04,,,trung_binh,"Không hàng",,2025-12,"2025-12-15 14:54:58"
AG-21519,2,"Cảng Quốc Hằng (ĐN)","BMT Cần Thơ (Cái Cui)","BMT Cần Thơ (Cái Cui)",,"Cảng Quốc Hằng (ĐN) → BMT Cần Thơ (Cái Cui)",241,0,0.00058,2.095,1084.96,261475.36,656.55,0,0,,0,,2025-12-06,2025-12-09,2025-12-11,dai,"Đá XD",,2025-12,"2025-12-09 00:00:00"
HTL-2,1,"Nhà máy xi măng Kiên Lương","TN Long An","TN Long An",,"Nhà máy xi măng Kiên Lương → TN Long An",306,0,0.0005253,2.18,1171.98,358625.88,855.47,0,0,,0,,2025-11-30,2025-12-04,2025-12-05,dai,Clinker,,2025-12,"2025-12-05 00:00:00"
HTL-2,1,"TN Long An","Cảng Quốc Hằng (ĐN)","Cảng Quốc Hằng (ĐN)",,"TN Long An → Cảng Quốc Hằng (ĐN)",0,127,0.00058,2.095,0,0,266.07,0,0,,0,,2025-12-05,,,trung_binh,"Không hàng",,2025-12,"2025-12-15 15:19:23"
HTL-2,2,"Cảng Quốc Hằng (ĐN)","BMT Cần Thơ (Cái Cui)","BMT Cần Thơ (Cái Cui)",,"Cảng Quốc Hằng (ĐN) → BMT Cần Thơ (Cái Cui)",241,0,0.00058,2.095,1411.08,340070.28,702.14,0,0,,0,,2025-12-07,,,dai,"Đá XD",,2025-12,"2025-12-07 00:00:00"
HTL-3,1,"Vĩnh Xương (AG)","Nhà máy xi măng Kiên Lương","Nhà máy xi măng Kiên Lương",,"Vĩnh Xương (AG) → Nhà máy xi măng Kiên Lương",217,0,0.00058,2.095,1372,297724,627.29,0,0,,0,,2025-11-27,2025-12-29,2025-12-01,dai,Cát,,2025-12,"2025-12-29 00:00:00"
HTL-3,1,,,,,,0,0,0,0,0,0,70,1,0,"Dầu ma nơ tại bến Vĩnh Xương (AG) 01 chuyến x 70 lít",70,,2025-11-27,2025-12-29,2025-12-01,,Cát,,2025-12,"2025-12-29 00:00:00"
HTL-3,2,"Nhà máy xi măng Kiên Lương","TN Phú Hữu","TN Phú Hữu",,"Nhà máy xi măng Kiên Lương → TN Phú Hữu",342,0,0.0005253,2.18,1133.92,387800.64,949.27,0,0,,0,,2025-12-04,2025-12-08,2025-12-08,dai,Clinker,,2025-12,"2025-12-08 00:00:00"
HTV-157,1,"XM Hạ Long (HP)","Phao SSV01 (Nhà Bè)","Phao SSV01 (Nhà Bè)",,"XM Hạ Long (HP) → Phao SSV01 (Nhà Bè)",0,5,0.00105,3.82,0,0,19.1,0,0,,0,,,,,ngan,"Không hàng",,2025-12,"2025-12-15 14:18:34"
HTV-157,1,"Phao SSV01 (Nhà Bè)","Tuấn An Phú (BD)","Tuấn An Phú (BD)",,"Phao SSV01 (Nhà Bè) → Tuấn An Phú (BD)",65,0,0.00062,2.256,1433.06,93148.9,204.39,0,0,,0,,2025-12-02,2025-12-02,2025-12-03,ngan,"Thạch cao",,2025-12,"2025-12-03 00:00:00"
HTV-157,1,"Tuấn An Phú (BD)","Cảng Quốc Hằng (ĐN)","Cảng Quốc Hằng (ĐN)",,"Tuấn An Phú (BD) → Cảng Quốc Hằng (ĐN)",0,19,0.00089,3.14,0,0,59.66,0,0,,0,,,,,ngan,"Không hàng",,2025-12,"2025-12-15 14:31:58"
HTV-157,2,"Cảng Quốc Hằng (ĐN)","BMT Cần Thơ (Cái Cui)","BMT Cần Thơ (Cái Cui)",,"Cảng Quốc Hằng (ĐN) → BMT Cần Thơ (Cái Cui)",241,0,0.00058,2.095,1409.24,339626.84,701.88,0,0,,0,,2025-12-04,2025-12-07,2025-12-08,dai,"Đá XD",,2025-12,"2025-12-08 00:00:00"
HTV-157,2,"BMT Cần Thơ (Cái Cui)","Vĩnh Xương( AG)","Vĩnh Xương( AG)",,"BMT Cần Thơ (Cái Cui) → Vĩnh Xương( AG)",0,140,0.00058,2.095,0,0,293.3,0,0,,0,,,,,trung_binh,"Không hàng",,2025-12,"2025-12-15 14:37:09"
HTV-157,3,"Vĩnh Xương (AG)","Vạn Phúc City (C.Bình Lợi)","Vạn Phúc City (C.Bình Lợi)",,"Vĩnh Xương (AG) → Vạn Phúc City (C.Bình Lợi)",288,0,0.00058,2.095,1400,403200,837.22,0,0,,0,,2025-12-11,,,dai,Cát,,2025-12,"2025-12-08 00:00:00"
HTV-157,3,,,,,,0,0,0,0,0,0,107,1,0,"Dầu ma nơ tại bến nhận hàng Vĩnh Xương (AG) -> Vạn Phúc City (C.Bình Lợi) 01 Chuyến (75 lít + 32 lít) x 107 lít",107,,2025-12-08,,,,Cát,,2025-12,"2025-12-08 00:00:00"
AG-26579,1,"TN Phú Hữu","Cảng An Ngãi (BRVT)","Cảng An Ngãi (BRVT)",,"TN Phú Hữu → Cảng An Ngãi (BRVT)",0,90,0.00061,2.514,0,0,226.26,0,0,,0,,2025-12-01,,,trung_binh,"Không hàng",,2025-12,"2025-12-15 15:02:18"
AG-26579,1,"Cảng An Ngãi (BRVT)","Nhà máy xi măng Kiên Lương","Nhà máy xi măng Kiên Lương",,"Cảng An Ngãi (BRVT) → Nhà máy xi măng Kiên Lương",402,0,0.000475,2.42,1300,522600,1221.08,0,0,,0,,2025-12-03,2025-12-07,2025-12-11,dai,Pouzolan,,2025-12,"2025-12-12 00:00:00"
AG-26579,2,"Nhà máy xi măng Kiên Lương","TN Long An","TN Long An",,"Nhà máy xi măng Kiên Lương → TN Long An",306,0,0.000475,2.42,1364.98,417683.88,938.92,0,0,,0,,2025-12-12,2025-12-16,2025-12-18,dai,Clinker,,2025-12,"2025-12-18 00:00:00"
AG-21519,2,"BMT Cần Thơ (Cái Cui)","Vĩnh Xương (AG)","Vĩnh Xương (AG)",,"BMT Cần Thơ (Cái Cui) → Vĩnh Xương (AG)",0,140,0.00058,2.095,0,0,293.3,0,0,,0,,2025-12-11,,,trung_binh,"Không hàng",,2025-12,"2025-12-15 15:49:04"
AG-21519,3,"Vĩnh Xương (AG)","Nhà máy xi măng Kiên Lương","Nhà máy xi măng Kiên Lương",,"Vĩnh Xương (AG) → Nhà máy xi măng Kiên Lương",217,0,0.00058,2.095,1230.6,267040.2,609.5,0,0,,0,,2025-12-17,2025-12-19,2025-12-22,dai,Cát,,2025-12,"2025-12-06 00:00:00"
AG-21519,3,,,,,,0,0,0,0,0,0,75,1,0,"Dầu ma nơ tại bến Vĩnh Xương (AG) 01 chuyến x 75 lít",75,,2025-12-06,,,,Cát,,2025-12,"2025-12-06 00:00:00"
HTV-08,1,"XM Kiên Lương","TN Long An","TN Long An",,"XM Kiên Lương → TN Long An",306,0,0.000499,2.071,1052.17,321964.02,794.39,0,0,,0,,2025-12-01,2025-12-05,2025-12-09,dai,Clinker,,2025-12,"2025-12-09 00:00:00"
HTV-08,1,"TN Long An","Cảng Long Thuận (ĐN)","Cảng Long Thuận (ĐN)",,"TN Long An → Cảng Long Thuận (ĐN)",0,88,0.000589,2.143,0,0,188.58,0,0,,0,,2025-12-09,,,trung_binh,"Không hàng",,2025-12,"2025-12-15 22:26:24"
HTV-08,2,"Cảng Long Thuận (ĐN)","XM Kiên Lương","XM Kiên Lương",,"Cảng Long Thuận (ĐN) → XM Kiên Lương",334,0,0.000499,2.071,1001.06,334354.04,858.56,0,0,,0,,2025-12-09,2025-12-14,2025-12-16,dai,"Than đá",,2025-12,"2025-12-16 00:00:00"
HTV-08,2,,,,,,0,0,0,0,0,0,28,1,0,"Dầu ma nơ tại bến Cảng Long Thuận (ĐN) 01 chuyến x 28 lít",28,,2025-12-09,2025-12-14,2025-12-16,,"Than đá",,2025-12,"2025-12-16 00:00:00"
HTV-07,1,"XM Kiên Lương","TN Long An","TN Long An",,"XM Kiên Lương → TN Long An",306,0,0.000499,2.071,1098.93,336272.58,801.53,0,0,,0,,2025-11-27,2025-11-30,2025-12-02,dai,Clinker,,2025-12,"2025-12-02 00:00:00"
HTV-07,1,"TN Long An","Phao SSV01 (Nhà Bè)","Phao SSV01 (Nhà Bè)",,"TN Long An → Phao SSV01 (Nhà Bè)",0,81,0.000589,2.143,0,0,173.58,0,0,,0,,2025-12-02,,,trung_binh,"Không hàng",,2025-12,"2025-12-15 23:24:53"
HTV-07,2,"Phao SSV01 (Nhà Bè)","TN Phú Hữu","TN Phú Hữu",,"Phao SSV01 (Nhà Bè) → TN Phú Hữu",15,0,0.000998,3.629,829.5,12442.5,66.85,0,0,,0,,2025-12-02,2025-12-02,2025-12-03,ngan,"Thạch cao",,2025-12,"2025-12-03 00:00:00"
HTV-07,3,"TN Phú Hữu","TN Phú Hữu (Chuyển tải tàu biển)","TN Phú Hữu (Chuyển tải tàu biển)",,"TN Phú Hữu → TN Phú Hữu (Chuyển tải tàu biển)",11,0,0.000998,3.629,189,2079,41.99,0,0,,0,,2025-12-04,2025-12-05,2025-12-06,ngan,"Xi măng túi",,2025-12,"2025-12-06 00:00:00"
AG-26243,1,"XM Kiên Lương","TN Phú Hữu","TN Phú Hữu",,"XM Kiên Lương → TN Phú Hữu",342,0,0.000485,3.084,1380.49,472127.58,1283.71,0,0,,0,,2025-11-27,2025-12-02,2025-12-02,dai,Clinker,,2025-12,"2025-12-02 00:00:00"
AG-26243,1,"TN Phú Hữu","Tuấn An Phú (BD)","Tuấn An Phú (BD)",,"TN Phú Hữu → Tuấn An Phú (BD)",0,50,0.00052,2.66,0,0,133,0,0,,0,,2025-12-02,,,ngan,"Không hàng",,2025-12,"2025-12-02 00:00:00"
AG-26243,2,"Tuấn An Phú (BD)","TN Phú Hữu","TN Phú Hữu",,"Tuấn An Phú (BD) → TN Phú Hữu",50,0,0.00052,2.66,1754.37,87718.5,178.61,0,0,,0,,2025-12-05,2025-12-06,2025-12-08,ngan,Clinker,,2025-12,"2025-12-08 00:00:00"
AG-26243,2,"TN Phú Hữu","Cảng Long Thuận (ĐN)","Cảng Long Thuận (ĐN)",,"TN Phú Hữu → Cảng Long Thuận (ĐN)",0,22,0.00069,3.601,0,0,79.22,0,0,,0,,2025-12-08,,,ngan,"Không hàng",,2025-12,"2025-12-08 00:00:00"
AG-26243,3,"Cảng Long Thuận (ĐN)","XM Kiên Lương","XM Kiên Lương",,"Cảng Long Thuận (ĐN) → XM Kiên Lương",334,0,0.000485,3.084,1425.15,476000.1,1260.92,0,0,,0,,2025-12-08,2025-12-12,2025-12-13,dai,"Than đá",,2025-12,"2025-12-13 00:00:00"
AG-26243,3,,,,,,0,0,0,0,0,0,36,1,0,"Dầu ma nơ tại bến Cảng Long Thuận (ĐN) 01 chuyến x 36 lít",36,,2025-12-08,2025-12-12,2025-12-13,,"Than đá",,2025-12,"2025-12-13 00:00:00"
AG-26243,4,"XM Kiên Lương","TN Phú Hữu","TN Phú Hữu",,"XM Kiên Lương → TN Phú Hữu",342,0,0.000485,3.084,1436.73,491361.66,1293.04,0,0,,0,,2025-12-14,2025-12-20,2025-12-20,dai,Clinker,,2025-12,"2025-12-20 00:00:00"
AG-26243,4,"TN Phú Hữu","Cảng Long Thuận (ĐN)","Cảng Long Thuận (ĐN)",,"TN Phú Hữu → Cảng Long Thuận (ĐN)",0,22,0.00069,3.601,0,0,79.22,0,0,,0,,2025-12-20,,,ngan,"Không hàng",,2025-12,"2025-12-20 00:00:00"
AG-26243,5,"Cảng Long Thuận (ĐN)","XM Kiên Lương","XM Kiên Lương",,"Cảng Long Thuận (ĐN) → XM Kiên Lương",334,0,0.000485,3.084,1427.14,476664.76,1261.24,0,0,,0,,2025-12-20,,,dai,"Than đá",,2025-12,"2025-12-20 00:00:00"
AG-26243,5,,,,,,0,0,0,0,0,0,36,1,0,"Dầu ma nơ tại bến Cảng Long Thuận (ĐN) 01 chuyến x 36 lít",36,,2025-12-20,,,,"Than đá",,2025-12,"2025-12-20 00:00:00"
AG-26237,1,"XM Hạ Long (HP)","Cảng Thường Tân (BD)","Cảng Thường Tân (BD)",,"XM Hạ Long (HP) → Cảng Thường Tân (BD)",0,92,0.00054,2.71,0,0,249.32,0,0,,0,,2025-11-30,,,trung_binh,"Không hàng",,2025-12,"2025-11-30 00:00:00"
AG-26237,1,"Cảng Thường Tân (BD)","XM Kiên Lương","XM Kiên Lương",,"Cảng Thường Tân (BD) → XM Kiên Lương",414,0,0.000485,3.084,1422.87,589068.18,1562.47,0,0,,0,,2025-12-03,2025-12-07,2025-12-10,dai,"Đá phong hóa",,2025-12,"2025-12-10 00:00:00"
AG-26237,2,"XM Kiên Lương","TN Phú Hữu","TN Phú Hữu",,"XM Kiên Lương → TN Phú Hữu",342,0,0.000485,3.084,1422.44,486474.48,1290.67,0,0,,0,,2025-12-11,2025-12-15,2025-12-16,dai,Clinker,,2025-12,"2025-12-16 00:00:00"
AG-26237,2,"TN Phú Hữu","Cảng Long Thuận (ĐN)","Cảng Long Thuận (ĐN)",,"TN Phú Hữu → Cảng Long Thuận (ĐN)",0,22,0.00069,3.601,0,0,79.22,0,0,,0,,2025-12-16,,,ngan,"Không hàng",,2025-12,"2025-12-16 00:00:00"
AG-26237,3,"Cảng Long Thuận (ĐN)","XM Kiên Lương","XM Kiên Lương",,"Cảng Long Thuận (ĐN) → XM Kiên Lương",334,0,0.000485,3.084,1454.62,485843.08,1265.69,0,0,,0,,2025-12-16,2025-12-20,2025-12-23,dai,"Than đá",,2025-12,"2025-12-23 00:00:00"
AG-26237,3,,,,,,0,0,0,0,0,0,36,1,0,"Dầu ma nơ tại bến Cảng Long Thuận (ĐN) 01 chuyến x 36 lít",36,,2025-12-16,2025-12-20,2025-12-23,,"Than đá",,2025-12,"2025-12-23 00:00:00"
AG-21190,1,"TN Long An","XM Kiên Lương","XM Kiên Lương",,"TN Long An → XM Kiên Lương",0,306,0.0005253,2.18,0,0,667.08,0,0,,0,,2025-11-26,,,dai,"Không hàng",,2025-12,"2025-11-26 00:00:00"
AG-21190,1,"XM Kiên Lương","TN Phú Hữu","TN Phú Hữu",,"XM Kiên Lương → TN Phú Hữu",342,0,0.0005253,2.18,1229.65,420540.3,966.47,0,0,,0,,2025-11-30,2025-12-06,2025-12-06,dai,Clinker,,2025-12,"2025-12-06 00:00:00"
AG-21190,1,"TN Phú Hữu","Cảng Quốc Hằng (ĐN)","Cảng Quốc Hằng (ĐN)",,"TN Phú Hữu → Cảng Quốc Hằng (ĐN)",0,31,0.00072,2.59,0,0,80.29,0,0,,0,,2025-12-06,,,ngan,"Không hàng",,2025-12,"2025-12-06 00:00:00"
AG-21190,2,"Cảng Quốc Hằng (ĐN)","BMT Cần Thơ (Cái Cui)","BMT Cần Thơ (Cái Cui)",,"Cảng Quốc Hằng (ĐN) → BMT Cần Thơ (Cái Cui)",241,0,0.00058,2.095,1264.07,304640.87,681.59,0,0,,0,,2025-12-10,2025-12-12,2025-12-15,dai,"Đá XD",,2025-12,"2025-12-15 00:00:00"
