ten_phuong_tien,so_chuyen,diem_di,diem_du_kien,diem_den,doi_lenh_tuyen,route_hien_thi,cu_ly_co_hang_km,cu_ly_khong_hang_km,he_so_co_hang,he_so_khong_hang,khoi_luong_van_chuyen_t,khoi_luong_luan_chuyen,dau_tinh_toan_lit,cap_them,doi_lenh,ly_do_cap_them,so_luong_cap_them_lit,cay_xang_cap_them,ngay_di,ngay_den,ngay_do_xong,nhom_cu_ly,loai_hang,ghi_chu,thang_bao_cao,created_at
HTL-1,1,"Cảng An Ngãi (BRVT)","Nhà máy xi măng Kiên Lương","Nhà máy xi măng Kiên Lương",,,402,0,0.0005253,2.18,1058.09,425352.18,1099.8,0,0,,0,,2025-08-30,2025-09-03,2025-09-08,dai,Pouzolan,,2025-09,"2025-09-08 00:00:00"
HTL-1,2,"Nhà máy xi măng Kiên Lương","TN Long An","TN Long An",,,306,0,0.0005253,2.18,1181.07,361407.42,856.93,0,0,,0,,2025-09-09,2025-09-12,2025-09-13,dai,Clinker,,2025-09,"2025-09-13 00:00:00"
HTL-1,2,"TN Long An","Cảng Long Thuận (ĐN)","Cảng Long Thuận (ĐN)",,,0,88,0.00062,2.256,0,0,198.53,0,0,,0,,,,,trung_binh,"Không hàng",,2025-09,"2025-09-15 18:48:36"
HTL-1,4,"Cảng Long Thuận (ĐN)","Nhà máy xi măng Kiên Lương","Nhà máy xi măng Kiên Lương",,,334,0,0.0005253,2.18,1141.54,381274.36,928.4,0,0,,0,,2025-09-15,2025-09-19,2025-09-20,dai,"Than đá",,2025-09,"2025-09-20 00:00:00"
HTL-1,3,,,,,,0,0,0,0,0,0,28,1,0,"Dầu ma nơ tại bến nhận hàng Cảng Long Thuận 01 chuyến x 28 lít",28,,2025-09-13,,,,,,2025-09,"2025-09-13 00:00:00"
HTL-1,4,"Nhà máy xi măng Kiên Lương","TN Long An","TN Long An",,,306,0,0.0005253,2.18,1156.07,353757.42,852.91,0,0,,0,,2025-09-22,2025-09-25,2025-09-26,dai,Clinker,,2025-09,"2025-09-26 00:00:00"
AG-26243,1,"Nhà máy xi măng Kiên Lương","TN Phú Hữu","TN Phú Hữu",,,342,0,0.000485,3.084,1401.24,479224.08,1287.15,0,0,,0,,2025-09-01,2025-09-06,2025-09-06,dai,Clinker,,2025-09,"2025-09-06 00:00:00"
HTL-1,6,"TN Long An","Nhà máy xi măng Kiên Lương","Nhà máy xi măng Kiên Lương",,,0,306,0.0005253,2.18,0,0,667.08,0,0,,0,,,,,dai,"Không hàng",,2025-09,"2025-09-15 18:56:19"
HTL-2,1,"Cảng An Ngãi (BRVT)","Nhà máy xi măng Kiên Lương","Nhà máy xi măng Kiên Lương",,,402,0,0.0005253,2.18,1026,412452,1093.02,0,0,,0,,2025-08-28,2025-09-01,2025-09-05,dai,Pouzolan,,2025-09,"2025-09-05 00:00:00"
AG-26243,1,"TN Phú Hữu","Cảng Long Thuận (ĐN)","Cảng Long Thuận (ĐN)",,,0,22,0.00069,3.601,0,0,79.22,0,0,,0,,,,,ngan,"Không hàng",,2025-09,"2025-09-15 19:03:16"
HTL-2,2,"TN Long An","Cảng Long Thuận (ĐN)","Cảng Long Thuận (ĐN)",,,0,88,0.00062,2.256,0,0,198.53,0,0,,0,,2025-09-10,2025-09-11,,trung_binh,"Không hàng",,2025-09,"2025-09-11 00:00:00"
HTL-2,2,"Nhà máy xi măng Kiên Lương","TN Long An","TN Long An",,,306,0,0.0005253,2.18,1141,349146,850.49,0,0,,0,,2025-09-06,2025-09-09,2025-09-10,dai,Clinker,,2025-09,"2025-09-10 00:00:00"
HTL-2,4,"Cảng Long Thuận (ĐN)","Nhà máy xi măng Kiên Lương","Nhà máy xi măng Kiên Lương",,,334,0,0.0005253,2.18,1139,380426,927.96,0,0,,0,,2025-09-12,2025-09-15,2025-09-17,dai,"Than đá",,2025-09,"2025-09-17 00:00:00"
HTL-2,4,,,,,,0,0,0,0,0,0,28,1,0,"Dầu ma nơ tại bến nhận hàng Cảng Long Thuận 01 chuyến x 28 lít",28,,2025-09-10,,,,,,2025-09,"2025-09-10 00:00:00"
AG-26243,2,"Cảng Long Thuận (ĐN)","Nhà máy xi măng Kiên Lương","Nhà máy xi măng Kiên Lương",,,334,0,0.000485,3.084,1430.66,477840.44,1261.81,0,0,,0,,2025-09-09,2025-09-13,2025-09-15,dai,"Than đá",,2025-09,"2025-09-15 00:00:00"
HTL-2,5,"Nhà máy xi măng Kiên Lương","XM Hạ Long (HP)","XM Hạ Long (HP)",,,322,0,0.0005253,2.18,1166,375452,899.18,0,0,,0,,2025-09-20,2025-09-23,2025-09-24,dai,Clinker,,2025-09,"2025-09-24 00:00:00"
HTL-2,5,"XM Hạ Long (HP)","Phao Gò Gia","Phao Gò Gia",,,0,40,0.00072,2.59,0,0,103.6,0,0,,0,,,,,ngan,"Không hàng",,2025-09,"2025-09-15 19:09:45"
HTL-2,6,"Phao Gò Gia","Cảng Phú Quang","Cảng Phú Quang",,,125,0,0.00058,2.095,1003,125375,334.59,0,0,,0,,2025-09-25,2025-09-26,2025-09-28,trung_binh,"Than đá",,2025-09,"2025-09-28 00:00:00"
HTL-2,6,,,,,,0,0,0,0,0,0,28,1,0,"Dầu ma nơ tại bến nhận hàng Phao ITC (Gò Gia) 01 chuyến x 28 lít",28,,2025-09-24,,,,,,2025-09,"2025-09-24 00:00:00"
HTL-3,1,"Bình Minh (Vĩnh Long)","Nhà máy xi măng Kiên Lương","Nhà máy xi măng Kiên Lương",,,0,165,0.00058,2.095,0,0,345.68,0,0,,0,,2025-08-27,2025-08-29,,trung_binh,"Không hàng",,2025-08,"2025-08-29 00:00:00"
HTL-3,1,"Nhà máy xi măng Kiên Lương","TN Long An","TN Long An",,,306,0,0.0005253,2.18,1160,354960,853.54,0,0,,0,,2025-09-05,2025-09-08,2025-09-09,dai,Clinker,,2025-09,"2025-09-09 00:00:00"
AG-26243,2,,,,,,0,0,0,0,0,0,36,1,0,"Dầu ma nơ tại bến nhận hàng C.Long Thuận 01 chuyến x 36 lít",36,,2025-09-06,,,,,,2025-09,"2025-09-06 00:00:00"
HTL-3,1,"TN Long An","Phao Gò Gia","Phao Gò Gia",,,0,116,0.00058,2.095,0,0,243.02,0,0,,0,,2025-09-09,2025-09-10,,trung_binh,"Không hàng",,2025-09,"2025-09-10 00:00:00"
HTL-3,2,"Phao Gò Gia","Cảng Cái Cui (CT)","Cảng Cái Cui (CT)",,,230,0,0.00058,2.095,1330,305900,659.27,0,0,,0,,2025-09-11,2025-09-13,2025-09-16,dai,"Than đá",,2025-09,"2025-09-16 00:00:00"
HTL-3,2,,,,,,0,0,0,0,0,0,28,1,0,"Dầu ma nơ tại bến nhận hàng Phao BP15 (Gò Gia) 01 chuyến x 28 lít",28,,2025-08-27,,,,,,2025-09,"2025-08-27 00:00:00"
HTL-3,2,"Cảng Cái Cui (CT)","Vĩnh Xương (AG)","Vĩnh Xương (AG)",,,0,140,0.00058,2.095,0,0,293.3,0,0,,0,,2025-09-15,2025-09-18,,trung_binh,"Không hàng",,2025-09,"2025-09-18 00:00:00"
AG-26243,3,"Nhà máy xi măng Kiên Lương","TN Long An","TN Long An",,,306,0,0.000485,3.084,1535.63,469902.78,1171.61,0,0,,0,,2025-09-16,2025-09-21,2025-09-22,dai,Clinker,,2025-09,"2025-09-22 00:00:00"
HTL-3,3,"Vĩnh Xương (AG)","Tuấn An Phú (BD)","Tuấn An Phú (BD)",,,312,0,0.0005253,2.18,1400,436800,909.61,0,0,,0,,2025-09-20,2025-09-23,2025-09-23,dai,Cát,,2025-09,"2025-09-23 00:00:00"
HTL-3,3,,,,,,0,0,0,0,0,0,98,1,0,"Dầu ma nơ tại bến nhận hàng Vĩnh Xương (AG)->Tuấn An Phú (BD) 01 chuyến (70 lít + 28 lít)",98,,2025-09-16,,,,,,2025-09,"2025-09-16 00:00:00"
AG-26243,3,"TN Long An","Cảng Long Thuận (ĐN)","Cảng Long Thuận (ĐN)",,,0,88,0.00054,2.71,0,0,238.48,0,0,,0,,,,,trung_binh,"Không hàng",,2025-09,"2025-09-15 19:24:30"
HTL-3,4,"Tuấn An Phú (BD)","TN Phú Hữu","TN Phú Hữu",,,50,0,0.00072,2.59,1406,70300,180.12,0,0,,0,,2025-09-24,2025-09-25,2025-09-25,ngan,Clinker,,2025-09,"2025-09-25 00:00:00"
