ten_tau,phan_loai,so_dang_ky
HTV-05,cong_ty,SG-6239
HTV-07,cong_ty,SG-6099
HTV-08,cong_ty,SG.6244
HTV-09,cong_ty,SG-6284
HTV-131,cong_ty,SG-6285
HTV-132,cong_ty,SG-6545
HTV-134,cong_ty,SG-6570
HTL-1,cong_ty,SG-4490
HTL-2,cong_ty,SG-4780
HTL-3,cong_ty,SG-4796
HTV-1401,cong_ty,SG-8059
HTV-1402,cong_ty,SG-8060
HTV-1403,cong_ty,SG-8061
HTV-1404,cong_ty,SG-8062
HTV-1405,cong_ty,SG-8102
HTV-1406,cong_ty,SG-8101
HTV-1407,cong_ty,SG-8100
HTV-1408,cong_ty,SG-8082
HTV-1409,cong_ty,SG-8110
HTV-1410,cong_ty,SG-8111
HTV-1411,cong_ty,SG-8154
HTV-1412,cong_ty,SG-8083
HTV-142,cong_ty,SG-6583
HTV-151,cong_ty,SG-5980
HTV-152,cong_ty,SG.6010
HTV-153,cong_ty,SG-6049
HTV-154,cong_ty,SG-6048
HTV-155,cong_ty,SG-6260
HTV-156,cong_ty,SG-6293
HTV-157,cong_ty,SG-6313
HTV-161,cong_ty,SG-6030
HTV-171,cong_ty,SG-6254
HTV-201,cong_ty,SG-5976
HTV-202,cong_ty,SG-6020
HTV-203,cong_ty,SG-6323
AG-21190,thue_ngoai,
AG-21519,thue_ngoai,
AG-26579,thue_ngoai,
AG-26237,thue_ngoai,
AG-26243,thue_ngoai,
